,day,daylight
0,0,11.430056033539586
1,1,11.432657792523969
2,2,11.4354758762056
3,3,11.438508068269584
4,4,11.441751981794368
5,5,11.44520507514244
6,6,11.448864667851012
7,7,11.452727929805405
8,8,11.45679192210082
9,9,11.461053596867714
10,10,11.465509826957714
11,11,11.47015743108932
12,12,11.474993138050195
13,13,11.480013591237366
14,14,11.485215310764033
15,15,11.49059467529878
16,16,11.49614793463843
17,17,11.501871227519587
18,18,11.507760634005535
19,19,11.513812176359352
20,20,11.520021895878017
21,21,11.526385827222839
22,22,11.532900053774938
23,23,11.539560674282257
24,24,11.546363823290449
25,25,11.553305649664253
26,26,11.560382308030967
27,27,11.56758996611461
28,28,11.574924790940713
29,29,11.582382969616447
30,30,11.589960715093184
31,31,11.597654274723027
32,32,11.60545995522989
33,33,11.61337411153363
34,34,11.621393169276416
35,35,11.629513612075243
36,36,11.63773200509604
37,37,11.646044987544883
38,38,11.65444930375088
39,39,11.662941794609651
40,40,11.671519412251655
41,41,11.680179142858833
42,42,11.688917996012606
43,43,11.697732954926323
44,44,11.706620959506836
45,45,11.71557894354919
46,46,11.724603852722794
47,47,11.733692670764867
48,48,11.742842455627397
49,49,11.752050349256024
50,50,11.761313583527226
51,51,11.770629480248317
52,52,11.779995450982824
53,53,11.789408974873368
54,54,11.798867605277337
55,55,11.808368932222947
56,56,11.81791061279364
57,57,11.827490323106758
58,58,11.837105814542156
59,59,11.846754859259818
60,60,11.856435317080468
61,61,11.86614511453081
62,62,11.875882251129951
63,63,11.88564480637433
64,64,11.895430937292986
65,65,11.905238886305597
66,66,11.915066988905892
67,67,11.92491366842296
68,68,11.934777428337839
69,69,11.944656827137806
70,70,11.95455040584784
71,71,11.964456657296978
72,72,11.974373983335681
73,73,11.984300717886072
74,74,11.994235132879112
75,75,12.004175487149041
76,76,12.014120023639407
77,77,12.024067004676908
78,78,12.0340147180832
79,79,12.043961462681182
80,80,12.053905577457044
81,81,12.063845401571598
82,82,12.07377928274218
83,83,12.0837055623997
84,84,12.093622568703722
85,85,12.10352860292187
86,86,12.113421951478813
87,87,12.123300879145972
88,88,12.133163641788997
89,89,12.143008494225796
90,90,12.152833706641104
91,91,12.16263757244451
92,92,12.172418414906133
93,93,12.182174591696821
94,94,12.191904496634379
95,95,12.201606581511442
96,96,12.211279307899531
97,97,12.22092114679981
98,98,12.23053054214688
99,99,12.240105837292504
